,Game_Title,Franchise,All_Time_Sales,Weeks_Out,Weekly_Sales,Genre,Console,Publisher
387,Sonic Mania ,1,66880,49,33814,Platform,PS4,Sega
388,SoulCalibur VI ,1,517903,4,129475.75,Fighting,PS4,Namco Bandai Games
389,SoulCalibur VI ,1,149215,2,74607.5,Fighting,XOne,Namco Bandai Games
390,South Park: The Fractured But Whole ,1,24599,1,24599,Role-Playing,NS,Ubisoft
391,South Park: The Fractured But Whole ,1,30669,1,30669,Role-Playing,PC,Ubisoft
392,South Park: The Fractured But Whole ,1,623490,4,155872.5,Role-Playing,PS4,Ubisoft
393,South Park: The Fractured But Whole ,1,217326,2,108663,Role-Playing,XOne,Ubisoft
394,Spider-Man ,1,8757859,17,515168.176470588,Action-Adventure,PS4,Sony Interactive Entertainment
395,Spintires: MudRunner ,0,52271,1,52271,Simulation,PS4,Focus Home Interactive
396,Splatoon 2 ,1,7037733,76,93366.1527777778,Shooter,NS,Nintendo
397,Spyro Reignited Trilogy ,1,2172947,7,310421,Platform,PS4,Activision
398,Spyro Reignited Trilogy ,1,191323,1,191323,Platform,XOne,Activision
399,Star Trek Bridge Crew VR ,0,34700,1,34700,Action,PS4,Ubisoft
400,Star Wars Battlefront II ,1,4096930,34,135030.966666667,Shooter,PS4,Electronic Arts
401,Star Wars Battlefront II ,1,1535659,9,170628.777777778,Shooter,XOne,Electronic Arts
402,Stardew Valley ,1,18660,1,18660,Simulation,PS4,505 Games
403,Starlink: Battle for Atlas ,1,69322,1,69322,Action-Adventure,NS,Ubisoft
404,State of Decay 2 ,1,279295,4,69823.75,Action-Adventure,XOne,Microsoft Studios
405,Steep ,0,591887,7,23897.5,Sports,PS4,Ubisoft
406,Story of Seasons: Good Friends of the Three Villages ,0,283774,37,67645,Simulation,3DS,Marvelous Interactive
407,Strange Brigade ,0,25072,1,25072,Shooter,PS4,Rebellion Developments
408,Street Fighter 30th Anniversary Collection ,1,49247,1,49247,Fighting,NS,Capcom
409,Street Fighter 30th Anniversary Collection ,1,71575,1,71575,Fighting,PS4,Capcom
410,Street Fighter V ,1,1161957,101,25042,Fighting,PS4,Capcom
411,Styx: Shards of Darknes ,1,28158,1,28158,Action,PS4,Focus Home Interactive
412,Sumikko Gurashi: Koko,0,17396,1,17396,Dokonan Desu? (3DS)Nippon Columbia,Sumikko Gurashi: Koko,Sumikko Gurashi: Koko
413,Super Bomberman R ,1,259762,6,48205.8,Puzzle,NS,Konami Digital Entertainment
414,Super Mario Maker ,1,2421078,32,38600.3333333333,Platform,3DS,Nintendo
415,Super Mario Odyssey ,1,11714226,62,188939.129032258,Platform,NS,Nintendo
416,Super Mario Party ,1,4972711,13,382516.230769231,Party,NS,Nintendo
417,Super Robot Wars V ,1,95653,1,95653,Role-Playing,PS4,Namco Bandai Games
418,Super Robot Wars V ,1,82369,1,82369,Role-Playing,PSV,Namco Bandai Games
419,Super Robot Wars X ,1,88145,1,88145,Strategy,PS4,Namco Bandai Games
420,Super Robot Wars X ,1,53948,1,53948,Strategy,PSV,Namco Bandai Games
421,Super Smash Bros. ,1,8951009,4,2237752.25,Fighting,NS,Nintendo
422,Sushi Striker: The Way of Sushido ,0,18552,1,18552,Puzzle,NS,Nintendo
423,Sword Art Online: Fatal Bullet ,1,154942,3,70574.5,Role-Playing,PS4,Namco Bandai Games
424,TT Isle of Man: Ride on the Edge ,0,37983,1,37983,Racing,PS4,Big Ben Interactive
425,Taiko no Tatsujin: Drum 'n' Fun! ,0,165667,5,33133.4,Music,NS,Namco Bandai Games
426,Tales of Berseria ,0,399889,25,79109.5,Role-Playing,PS4,Namco Bandai Games
427,Tekken 7 ,1,818002,9,90889.1111111111,Fighting,PS4,Namco Bandai Games
428,Tekken 7 ,1,142704,3,47568,Fighting,XOne,Namco Bandai Games
429,The Alliance Alive ,0,28178,1,28178,Role-Playing,3DS,Atlus
430,The Binding of Isaac ,1,23209,1,23209,Action,NS,Nicalis
431,The Crew 2 ,1,485110,9,53901.1111111111,Racing,PS4,Ubisoft
432,The Crew 2 ,1,104319,2,52159.5,Racing,XOne,Ubisoft
433,The Elder Scrolls Online: Morrowind ,1,38514,1,38514,MMO,PS4,Bethesda Softworks
434,The Elder Scrolls Online: Morrowind ,1,21643,1,21643,MMO,XOne,Bethesda Softworks
435,The Elder Scrolls V: Skyrim ,1,657539,12,91773.5,Role-Playing,NS,Bethesda Softworks
436,The Elder Scrolls V: Skyrim ,1,2384573,29,24124.5,Role-Playing,PS4,Bethesda Softworks
437,The Elder Scrolls V: Skyrim ,1,1317294,11,31313,Role-Playing,XOne,Bethesda Softworks
438,The Elder Scrolls V: Skyrim PSVR ,1,271722,2,135861,Role-Playing,PS4,Bethesda Softworks
439,The Evil Within II ,1,713747,15,79881.5,Action,PS4,Bethesda Softworks
440,The Evil Within II ,1,47436,1,47436,Action,XOne,Bethesda Softworks
441,The Inpatient ,0,44768,1,44768,Action,PS4,Sony Interactive Entertainment
442,The Last Guardian ,1,953304,6,22613,Action-Adventure,PS4,Sony Computer Entertainment
443,The Legend of Heroes: Trails of Cold Steel III ,1,92129,1,92129,Role-Playing,PS4,Nihon Falcom Corporation
444,The Legend of Heroes: Trails of Cold Steel IV ,1,95709,1,95709,Role-Playing,PS4,Falcom
445,The Legend of Zelda: Breath of the Wild ,1,9460827,96,99084.3052631579,Action-Adventure,NS,Nintendo
446,The Legend of Zelda: Breath of the Wild ,1,974835,11,95893,Action-Adventure,WiiU,Nintendo
447,The Lego Ninjago Movie Videogame ,1,36304,3,27979,Action,PS4,Warner Bros. Interactive Entertainment
448,The Sims 4 ,1,827043,12,82052.4285714286,Simulation,PS4,Electronic Arts
449,The Sims 4 ,1,76515,1,76515,Simulation,XOne,Electronic Arts
450,The Snack World: TreJarers ,0,137890,3,45963.3333333333,Role-Playing,3DS,Level 5
451,The Snack World: Trejarers Gold ,0,36550,1,36550,Role-Playing,NS,Level 5
452,The Surge ,0,34395,1,34395,Action,PS4,Koch Media
453,The Walking Dead - The Telltale Series: A New Frontier ,1,79290,1,79290,Adventure,PS4,Warner Bros. Interactive Entertainment
454,The Walking Dead - The Telltale Series: A New Frontier ,1,52477,1,52477,Adventure,XOne,Warner Bros. Interactive Entertainment
455,The Witcher 3: Wild Hunt ,1,4436993,112,12541,Role-Playing,PS4,Namco Bandai Games
456,The World Ends with You: Final Remix ,1,75834,3,58968,Role-Playing,NS,Nintendo
457,Tom Clancy's Ghost Recon Wildlands ,1,2440716,27,90396.8888888889,Shooter,PS4,Ubisoft
458,Tom Clancy's Ghost Recon Wildlands ,1,1048566,12,87380.5,Shooter,XOne,Ubisoft
459,Tom Clancy's Rainbow Six: Siege ,1,3951178,134,19852.35,Shooter,PS4,Ubisoft
460,Tom Clancy's The Division ,1,4063359,44,31230,Misc,PS4,Ubisoft
461,Train Sim World ,1,23673,1,23673,Simulation,PS4,Maximum Games
462,Ultimate Marvel vs. Capcom 3 ,1,81588,1,81588,Fighting,PS4,Capcom
463,Ultimate Marvel vs. Capcom 3 ,1,40354,1,40354,Fighting,XOne,Capcom
464,Ultra Street Fighter II: The Final Challengers ,1,183558,4,45889.5,Fighting,NS,Capcom
465,Uncharted ,1,8933982,48,45374.3571428571,Action,PS4,Sony Computer Entertainment
466,Uncharted ,1,9477843,70,24720.9545454545,Action,PS4,Sony Interactive Entertainment
467,Uncharted: The Lost Legacy ,1,1600959,15,120854.25,Action,PS4,Sony Interactive Entertainment
468,Uncharted: The Nathan Drake Collection ,1,4850381,66,28490,Action,PS4,Sony Computer Entertainment
469,Until Dawn: Rush of Blood ,0,481830,18,16247,Adventure,PS4,Sony Computer Entertainment
470,Until Dawn: Rush of Blood ,0,503803,19,21973,Shooter,PS4,Sony Computer Entertainment
471,Uta no Prince-Sama: Repeat Love ,0,27941,1,27941,Adventure,PSV,Broccoli
472,Utawarerumono: Chiriyukusha e no Komoriuta ,0,19593,1,19593,Role-Playing,PS4,Aqua Plus
473,Valkyria Chronicles 4 ,1,60633,1,60633,Strategy,NS,Sega
474,Valkyria Chronicles 4 ,1,126011,1,51198.5,Role-Playing,PS4,Sega
475,Valkyria: Azure Revolution ,1,87585,24,24668,Role-Playing,PS4,Deep Silver
476,Valkyria: Azure Revolution ,1,40012,1,40012,Role-Playing,PS4,Sega
477,Valkyria: Azure Revolution ,1,20199,1,20199,Role-Playing,PSV,Sega
478,Vampyr ,0,152092,3,50697.3333333333,Role-Playing,PS4,Focus Home Interactive
479,Vampyr ,0,37855,1,37855,Role-Playing,XOne,Focus Home Interactive
480,WWE 2K18 ,1,1124012,26,91971.4,Sports,PS4,Take-Two Interactive
481,WWE 2K18 ,1,172706,2,86353,Sports,XOne,Take-Two Interactive
482,WWE 2K19 ,1,719217,8,89902.125,Fighting,PS4,Take-Two Interactive
483,WWE 2K19 ,1,158621,2,79310.5,Fighting,XOne,Take-Two Interactive
484,WarioWare Gold ,1,120951,4,37908.6666666667,Misc,3DS,Nintendo
485,Warriors  Orochi 4 ,1,24645,1,24645,Action,NS,Tecmo Koei
486,Warriors  Orochi 4 ,1,102628,1,102628,Action,PS4,Tecmo Koei
487,Watch Dogs 2 ,1,2774779,15,40515.125,Action,PS4,Ubisoft
488,Watch Dogs 2 ,1,1080191,14,20967,Action,XOne,Ubisoft
489,We Happy Few ,0,35719,1,35719,Action-Adventure,PS4,Gearbox Software
490,We Happy Few ,0,22029,1,22029,Action-Adventure,XOne,Gearbox Software
491,Wild Guns Reloaded ,0,19377,1,19377,Shooter,NS,Natsume
492,WipEout Omega Collection ,1,182100,6,34550.4,Racing,PS4,Sony Interactive Entertainment
493,Wolfenstein II: The New Colossus ,1,46157,2,23078.5,Shooter,NS,Bethesda Softworks
494,Wolfenstein II: The New Colossus ,1,683929,6,113988.166666667,Shooter,PS4,Bethesda Softworks
495,Wolfenstein II: The New Colossus ,1,126829,2,63414.5,Shooter,XOne,Bethesda Softworks
496,World of Warcraft: Battle for Azeroth ,1,44782,1,44782,MMO,PC,Activision
497,Xenoblade Chronicles 2 ,1,881622,8,111286.857142857,Role-Playing,NS,Nintendo
498,Xenoblade Chronicles 2: Torna  Golden Country ,1,22367,1,22367,Role-Playing,NS,Nintendo
499,Yakuza 3 ,1,25974,1,25974,Action-Adventure,PS4,Sega
500,Yakuza 6 ,1,540284,74,52518,Adventure,PS4,Sega
501,Yakuza Kiwami ,1,239707,85,67913,Adventure,PS4,Sega
502,Yakuza Kiwami 2 ,1,275211,39,104589.5,Action,PS4,Sega
503,Yakuza Zero: The Place of Oath ,1,317671,100,65492.5,Adventure,PS4,Sega
504,Yo-Kai Watch 3: Sukiyaki ,1,630266,6,21936.5,Role-Playing,3DS,Level 5
505,Yo-kai Watch Busters 2: Legend of the Secret Treasure Banbarayar - Sword/Magnum ,1,445065,4,137031.333333333,Role-Playing,3DS,Level 5
506,Yokai Watch 2 Ganso/Honke ,1,3450680,145,40756.5,Role-Playing,3DS,Nintendo
507,Yokai Watch 2 Shinuchi ,1,2718667,147,29690,Role-Playing,3DS,Nintendo
508,Yokai Watch Busters ,1,2325831,166,22306,Role-Playing,3DS,Level 5
509,Yonmegami Online: Cyber Dimension Neptune ,0,44395,1,44395,Role-Playing,PS4,Compile Heart
510,Yooka-Laylee ,0,57411,1,57411,Platform,PS4,Sold Out
511,Yooka-Laylee ,0,20834,1,20834,Platform,XOne,Sold Out
512,Yoshi's Woolly World ,1,239343,6,40157.1666666667,Platform,3DS,Nintendo
513,Ys VIII: Lacrimosa of Dana ,0,23530,1,23530,Role-Playing,NS,Nippon Ichi Software
514,Ys VIII: Lacrimosa of Dana ,0,26732,1,26732,Role-Playing,PS4,Nippon Ichi Software
515,Zanki Zero: Last Beginning ,0,15528,1,15528,Role-Playing,PS4,Spike Chunsoft
516,Zone of the Enders: The 2nd Runner M∀RS ,0,33273,1,33273,Simulation,PS4,Konami Digital Entertainment
